Category,Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Total
revenue,"Federal Salary",9000,9000,9000,9000,9000,9000,09000,0,0,0,0,0,$63,000.00
revenue,"Navy Retirement",1200,1200,1200,1200,1200,1200,01200,0,0,0,0,0,$8,400.00
revenue,"VA Benefits",4600,4600,4600,4600,4600,04600,04600,0,0,0,0,0,$32,200.00
revenue,"Interest/Dividends",0,0,0,0,0,0,0,0,0,0,0,0,$0.00
revenue,"Miscellaneous",0,0,0,0,0,0,0,0,0,0,0,0,$0.00
home,"Mortgage",2600,2600,02600,2600,2600,2600,2600,0,0,0,0,0,$18,200.00
home,"HOA",1100,1100,1100,1100,1100,1100,1100,0,0,0,0,0,$7,700.00
home,"Repairs",0,0,0,0,0,0,0,0,0,0,0,0,$0.00
home,"Utilities",120,120,120,120,120,120,120,0,0,0,0,0,$840.00
daily-living,"Groceries",300,300,0,0,0,0,0,0,0,0,0,0,$600.00
daily-living,"Dining Out",0,0,0,0,0,0,0,0,0,0,0,0,$0.00
daily-living,"House Cleaning",100,100,0100,100,100,100,100,0,0,0,0,0,$700.00
transportation,"Gas/Fuel",100,100,200,200,200,200,200,0,0,0,0,0,$1,200.00
transportation,"Insurance",100,100,100,100,100,100,100,0,0,0,0,0,$700.00
transportation,"Car Wash/Detailing",50,050,50,50,50,50,50,0,0,0,0,0,$350.00
entertainment,"Cable TV",120,120,0120,120,120,120,120,0,0,0,0,0,$840.00
entertainment,"Internet",90,90,100,100,100,100,100,0,0,0,0,0,$680.00
entertainment,"Cellphone",20,20,20,20,20,20,20,0,0,0,0,0,$140.00
financial,"Long-term Savings",1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,$10,500.00
financial,"Short-term Savings",600,600,600,600,600,600,600,0,0,0,0,0,$4,200.00
financial,"Credit Card Payments",0,0,0,0,0,0,0,0,0,0,0,0,$0.00
financial,"S1",01900,1900,1900,1900,1900,1900,1900,0,0,0,0,0,$13,300.00
financial,"S2",275,275,275,275,275,275,275,0,0,0,0,0,$1,925.00
